Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC005932.1	ENSG00000269019.1	2.250	0.000	1.700	8.07e-3
AC006014.8	ENSG00000146722.11	7.230	0.385	2.571	7.36e-10
AC006126.4	ENSG00000267045.1	0.000	8.165	-3.196	2.39e-11
AC006129.2	ENSG00000268027.5	10.550	0.080	3.419	2.32e-4
AC006262.5	ENSG00000268621.5	0.000	36.525	-5.230	1.18e-131
AC006449.2	ENSG00000279119.1	0.460	12.229	-3.180	7.31e-3
AC006538.8	ENSG00000276097.1	1.250	0.000	1.170	2.72e-3
AC006946.16	ENSG00000273203.1	0.030	1.285	-1.150	5.20e-3
AC006978.6	ENSG00000235859.5	21.021	5.660	1.725	1.19e-6
AC006994.1	ENSG00000231063.1	1.720	0.000	1.444	1.56e-4
AC007000.10	ENSG00000225726.1	5.540	0.675	1.965	7.05e-6
AC007038.7	ENSG00000229127.1	4.630	0.295	2.120	7.70e-10
AC007128.1	ENSG00000229970.3	0.000	2.910	-1.967	5.20e-58
AC007246.3	ENSG00000231312.6	3.520	13.875	-1.718	5.52e-6
AC007292.3	ENSG00000269318.1	1.430	0.200	1.018	1.55e-4
AC007292.6	ENSG00000267980.1	2.690	0.500	1.299	1.86e-4
AC007318.5	ENSG00000172974.11	5.530	17.070	-1.468	5.12e-5
AC007386.4	ENSG00000232613.6	1.880	0.060	1.442	1.96e-4
AC007405.4	ENSG00000234350.4	0.000	1.765	-1.467	3.98e-8
AC007405.6	ENSG00000239467.5	0.000	13.385	-3.846	3.86e-55
AC007787.3	ENSG00000279044.1	1.990	0.220	1.293	1.38e-3
AC007790.4	ENSG00000226205.1	2.310	0.000	1.727	3.72e-7
AC007899.3	ENSG00000224891.1	2.260	0.000	1.705	2.63e-5
AC007906.1	ENSG00000279018.1	3.360	0.250	1.802	6.41e-7
AC007919.19	ENSG00000231384.1	1.080	0.000	1.057	4.33e-3
AC007952.5	ENSG00000228157.4	5.340	0.050	2.594	4.11e-4
AC008065.1	ENSG00000224553.1	1.030	0.000	1.021	3.04e-4
AC008746.12	ENSG00000267838.2	4.780	0.580	1.871	3.44e-7
AC008982.2	ENSG00000269688.1	5.150	0.670	1.881	6.93e-5
AC008985.1	ENSG00000278999.1	1.570	0.010	1.347	1.69e-7
AC009095.4	ENSG00000237718.2	4.380	0.340	2.005	3.88e-12
AC009120.3	ENSG00000239763.2	9.100	0.650	2.614	9.22e-11
AC009120.5	ENSG00000260884.1	10.280	0.480	2.930	5.87e-17
AC009120.6	ENSG00000259972.2	25.259	4.250	2.322	1.93e-11
AC009133.17	ENSG00000260719.1	1.260	0.000	1.176	5.07e-5
AC009133.22	ENSG00000277669.1	0.000	6.987	-2.998	2.10e-3
AC009299.3	ENSG00000227403.1	1.340	0.000	1.227	2.29e-4
AC009403.2	ENSG00000216895.8	5.520	13.960	-1.198	6.44e-4
AC009495.2	ENSG00000235192.1	1.410	0.000	1.269	8.36e-3
AC009505.2	ENSG00000235522.6	1.300	0.110	1.051	1.32e-3
AC009784.3	ENSG00000232053.6	0.000	19.450	-4.354	1.05e-83
AC009948.5	ENSG00000223960.6	55.039	12.055	2.102	7.37e-8
AC009950.2	ENSG00000225963.7	10.110	0.050	3.403	3.41e-6
AC009970.1	ENSG00000233953.1	2.060	0.000	1.614	1.45e-3
AC010240.2	ENSG00000235253.1	5.290	0.040	2.596	5.30e-10
AC010287.1	ENSG00000279816.1	2.000	0.070	1.487	3.19e-6
AC010522.1	ENSG00000269304.1	3.640	0.000	2.214	2.36e-6
AC010525.4	ENSG00000267117.1	2.160	0.110	1.509	2.31e-5
AC010731.6	ENSG00000213083.3	2.640	0.000	1.864	2.09e-4
AC010733.5	ENSG00000232713.2	8.790	0.920	2.350	1.89e-5
AC010894.3	ENSG00000226853.2	0.630	3.760	-1.546	2.30e-8
AC010976.2	ENSG00000231731.7	6.510	1.295	1.710	2.33e-4
AC011558.5	ENSG00000279753.1	0.000	7.408	-3.072	8.88e-3
AC011742.3	ENSG00000231655.1	1.120	0.000	1.084	3.45e-6
AC011933.2	ENSG00000228007.1	8.330	0.000	3.222	1.41e-15
AC012065.5	ENSG00000233416.1	1.040	0.000	1.029	1.02e-3
AC012146.7	ENSG00000234327.7	4.190	24.685	-2.307	5.23e-11
AC012358.7	ENSG00000203327.2	1.740	0.240	1.144	4.14e-4
AC012358.8	ENSG00000240401.8	9.290	0.470	2.807	1.72e-10
AC012512.1	ENSG00000226539.1	0.110	4.390	-2.280	1.69e-29
AC012513.4	ENSG00000236478.2	2.230	0.030	1.649	9.05e-6
AC013429.5	ENSG00000234995.1	1.600	0.000	1.379	7.61e-6
AC013474.4	ENSG00000235128.1	4.340	0.115	2.260	3.20e-4
AC015971.2	ENSG00000228363.2	4.600	0.430	1.969	4.23e-4
AC016549.1	ENSG00000281325.1	1.570	0.000	1.362	4.23e-5
AC016629.3	ENSG00000269600.1	0.480	25.655	-4.171	1.28e-16
AC016723.4	ENSG00000235335.2	0.000	109.595	-6.789	1.80e-156
AC016747.3	ENSG00000212978.6	5.000	0.000	2.585	1.51e-10
AC016831.7	ENSG00000233559.1	1.130	0.025	1.055	3.31e-4
AC016894.1	ENSG00000234624.2	2.670	0.000	1.876	8.41e-7
AC016912.3	ENSG00000228100.1	0.000	1.030	-1.021	1.02e-10
AC016995.3	ENSG00000231367.5	0.000	1.400	-1.263	8.74e-19
AC017002.1	ENSG00000240350.2	1.860	0.325	1.110	2.33e-6
AC017002.2	ENSG00000224959.1	2.920	0.575	1.316	1.69e-4
AC017035.2	ENSG00000224442.1	2.720	0.000	1.895	8.37e-9
AC017104.2	ENSG00000233538.1	2.960	0.090	1.861	2.06e-5
AC017104.3	ENSG00000281035.1	24.450	0.000	4.670	8.28e-3
AC018462.2	ENSG00000229839.6	1.520	0.175	1.101	2.10e-5
AC018738.2	ENSG00000237039.1	10.790	0.730	2.769	4.07e-6
AC018766.4	ENSG00000267896.1	9.530	3.110	1.357	8.21e-3
AC018804.7	ENSG00000213225.7	0.030	4.280	-2.358	1.03e-30
AC018890.6	ENSG00000236449.1	0.320	2.115	-1.239	9.40e-13
AC019070.1	ENSG00000224007.1	1.650	0.000	1.406	1.78e-9
AC019080.1	ENSG00000237178.2	1.270	0.110	1.032	5.97e-4
AC019097.7	ENSG00000231822.1	3.320	0.170	1.885	6.22e-8
AC020951.1	ENSG00000278897.1	10.950	0.000	3.579	3.35e-7
AC022182.3	ENSG00000254802.1	2.750	0.000	1.907	1.09e-4
AC023347.1	ENSG00000235774.1	0.000	1.775	-1.473	2.49e-18
AC025171.1	ENSG00000215068.7	12.480	1.990	2.173	2.83e-8
AC026150.6	ENSG00000260784.1	2.780	0.000	1.918	1.36e-7
AC026150.8	ENSG00000260693.1	22.490	0.500	3.969	1.15e-15
AC027601.1	ENSG00000260005.6	2.010	0.420	1.084	4.39e-3
AC055733.1	ENSG00000280127.1	3.020	0.044	1.945	4.17e-4
AC058791.1	ENSG00000226380.7	2.440	0.130	1.606	3.58e-5
AC066692.3	ENSG00000238111.1	1.690	0.000	1.428	6.59e-4
AC068134.10	ENSG00000251485.1	2.560	0.040	1.775	9.53e-7
AC068491.2	ENSG00000229118.1	1.440	0.070	1.189	1.47e-3
AC068491.3	ENSG00000223973.2	1.290	0.050	1.125	5.16e-4
AC068522.4	ENSG00000242970.2	2.980	0.185	1.748	6.21e-6
AC069063.2	ENSG00000279380.1	1.710	0.000	1.438	1.05e-5
AC069213.4	ENSG00000227433.1	2.290	0.000	1.718	5.13e-6
AC069277.2	ENSG00000189229.10	0.000	16.535	-4.132	4.58e-12
AC069282.6	ENSG00000225507.1	11.610	2.940	1.678	2.97e-4
AC073046.25	ENSG00000235499.1	13.430	1.850	2.340	7.02e-4
AC073052.1	ENSG00000228446.2	2.930	0.190	1.724	3.85e-7
AC073283.7	ENSG00000225187.1	2.790	0.000	1.922	5.69e-8
AC074367.1	ENSG00000233716.1	1.670	0.000	1.417	5.73e-5
AC078883.3	ENSG00000232788.1	1.730	0.000	1.449	2.47e-3
AC079354.6	ENSG00000224463.1	13.350	0.000	3.843	2.62e-5
AC079466.1	ENSG00000266976.1	0.010	259.069	-8.008	6.70e-67
AC079807.3	ENSG00000236549.1	8.510	0.000	3.249	4.26e-11
AC083884.8	ENSG00000232729.7	9.030	0.140	3.137	1.13e-13
AC083900.1	ENSG00000225111.1	1.160	0.000	1.111	8.00e-5
AC087163.2	ENSG00000232344.2	1.870	0.050	1.451	1.82e-3
AC087294.2	ENSG00000235530.6	1.950	0.360	1.117	3.28e-3
AC090286.2	ENSG00000235672.1	1.450	0.075	1.188	2.22e-5
AC090804.1	ENSG00000230593.3	5.820	0.340	2.348	2.60e-7
AC092171.2	ENSG00000188365.3	3.340	0.255	1.790	9.98e-8
AC092301.3	ENSG00000269148.1	3.290	0.560	1.459	9.34e-5
AC092338.5	ENSG00000230872.1	2.670	0.035	1.826	9.00e-11
AC092580.4	ENSG00000235576.1	1.330	0.000	1.220	2.87e-3
AC092652.1	ENSG00000231758.2	3.530	0.000	2.180	3.62e-5
AC092835.2	ENSG00000233757.6	1.340	0.000	1.227	2.19e-3
AC093162.5	ENSG00000246575.2	2.970	0.125	1.819	4.73e-4
AC093323.3	ENSG00000170846.15	6.750	35.005	-2.216	1.51e-7
AC093375.1	ENSG00000226383.5	0.000	1.450	-1.293	4.40e-12
AC093495.4	ENSG00000228242.6	9.310	2.070	1.748	4.19e-5
AC093616.4	ENSG00000234231.3	2.010	7.645	-1.522	9.09e-3
AC093620.5	ENSG00000241269.1	2.330	0.285	1.374	7.13e-4
AC093627.10	ENSG00000240859.1	6.640	0.010	2.919	1.17e-5
AC093690.1	ENSG00000223522.1	4.610	0.100	2.351	4.73e-11
AC093732.1	ENSG00000233845.1	2.340	0.000	1.740	1.68e-6
AC096558.1	ENSG00000228655.6	7.370	0.000	3.065	3.91e-13
AC096559.1	ENSG00000224184.5	0.000	6.705	-2.946	4.96e-12
AC096772.6	ENSG00000244567.1	5.000	0.490	2.010	3.17e-12
AC096921.2	ENSG00000224618.1	2.830	0.000	1.937	2.11e-4
AC097374.2	ENSG00000259848.8	0.020	1.265	-1.151	4.15e-17
AC097721.1	ENSG00000232915.1	1.510	0.000	1.328	3.35e-4
AC098617.1	ENSG00000233766.7	0.230	2.915	-1.670	2.59e-4
AC098973.2	ENSG00000225548.5	0.000	2.810	-1.930	5.91e-22
AC100830.3	ENSG00000259635.1	2.040	0.020	1.576	1.75e-7
AC100830.4	ENSG00000265967.1	1.780	0.110	1.325	2.19e-3
AC100830.5	ENSG00000264937.1	9.310	0.000	3.366	6.53e-8
AC104131.1	ENSG00000213115.2	0.000	8.040	-3.176	4.51e-122
AC104389.1	ENSG00000279346.1	0.000	66.555	-6.078	1.42e-10
AC104389.2	ENSG00000279824.1	0.000	293.903	-8.204	5.08e-17
AC104389.28	ENSG00000167355.7	0.050	108.902	-6.710	4.17e-115
AC107081.5	ENSG00000236498.1	2.400	0.330	1.354	3.69e-6
AC108004.3	ENSG00000241525.4	16.990	0.000	4.169	1.91e-7
AC108448.2	ENSG00000236710.1	1.790	0.000	1.480	1.64e-5
AC108488.4	ENSG00000242282.6	1.910	12.595	-2.224	3.90e-3
AC112497.1	ENSG00000279413.1	7.710	2.215	1.438	6.65e-3
AC116366.6	ENSG00000234290.2	6.500	0.150	2.705	2.97e-7
AC121251.1	ENSG00000228171.1	2.460	0.000	1.791	2.11e-3
AC124914.3	ENSG00000231395.1	9.310	0.305	2.982	7.37e-8
AC127904.2	ENSG00000230732.4	5.530	0.240	2.397	2.00e-14
AC130469.1	ENSG00000279396.1	6.530	0.165	2.692	7.07e-5
AC135048.13	ENSG00000261487.1	15.410	6.225	1.184	1.18e-3
AC137932.4	ENSG00000268218.1	3.700	0.695	1.471	5.94e-8
AC137932.5	ENSG00000260279.2	3.620	0.440	1.682	4.51e-3
AC137932.6	ENSG00000261253.2	2.040	0.110	1.454	1.29e-6
AC137934.1	ENSG00000260923.5	5.640	72.118	-3.461	5.86e-10
AC138744.2	ENSG00000256826.1	2.670	0.000	1.876	6.61e-3
AC139099.5	ENSG00000262094.1	0.130	1.610	-1.208	8.38e-6
AC140076.1	ENSG00000227309.1	3.520	0.000	2.176	4.07e-9
AC141586.5	ENSG00000215154.6	14.090	3.580	1.720	7.37e-9
AC142472.6	ENSG00000276728.1	2.620	0.615	1.164	1.43e-4
AC144530.1	ENSG00000234742.1	4.280	0.265	2.061	8.35e-10
AC144652.1	ENSG00000273117.1	1.250	10.075	-2.299	8.97e-20
AC156455.1	ENSG00000256546.1	0.930	12.630	-2.820	4.62e-3
AC159540.1	ENSG00000230606.10	93.182	1.160	5.446	1.51e-24
AC159540.2	ENSG00000278766.2	5.610	0.000	2.725	5.05e-6
AC241585.2	ENSG00000281571.1	3.360	0.715	1.346	3.83e-4
AC245100.1	ENSG00000280649.1	3.720	0.985	1.250	8.97e-4
ACACA	ENSG00000278540.4	20.639	43.680	-1.046	3.53e-4
ACACB	ENSG00000076555.15	8.280	1.520	1.881	8.08e-6
ACAD10	ENSG00000111271.14	38.019	12.690	1.511	3.05e-8
ACAD9	ENSG00000177646.17	25.810	11.865	1.059	2.96e-3
ACAP1	ENSG00000072818.11	92.757	5.155	3.929	4.43e-24
ACAP2	ENSG00000114331.12	56.849	19.315	1.510	1.95e-3
ACAP2-IT1	ENSG00000229325.1	5.340	0.500	2.080	1.56e-3
ACAT2	ENSG00000120437.8	15.020	160.234	-3.331	1.05e-17
ACIN1	ENSG00000100813.14	199.023	98.636	1.005	9.26e-4
ACLY	ENSG00000131473.16	54.330	144.296	-1.393	6.25e-9
ACO1	ENSG00000122729.18	8.280	17.655	-1.007	2.84e-3
ACOT11	ENSG00000162390.17	12.670	0.795	2.929	3.48e-6
ACOT13	ENSG00000112304.10	13.180	56.343	-2.016	9.29e-15
ACOT2	ENSG00000119673.14	7.240	0.135	2.860	2.43e-11
ACOT7	ENSG00000097021.19	13.850	52.585	-1.851	4.40e-5
ACP1	ENSG00000143727.15	58.541	122.934	-1.058	2.20e-8
ACP5	ENSG00000102575.10	6.440	1.670	1.478	4.19e-3
ACP6	ENSG00000162836.11	8.870	1.045	2.271	2.32e-5
ACSF2	ENSG00000167107.12	21.130	7.405	1.397	3.07e-3
ACSL3	ENSG00000123983.13	19.129	83.190	-2.064	2.32e-10
ACSL5	ENSG00000197142.10	34.489	1.075	4.096	4.95e-22
ACSS1	ENSG00000154930.14	38.569	0.160	5.092	7.30e-34
ACSS2	ENSG00000131069.19	28.839	152.022	-2.358	1.37e-7
ACTA2	ENSG00000107796.12	16.500	2.800	2.203	2.30e-4
ACTA2-AS1	ENSG00000180139.11	1.550	0.060	1.266	5.80e-3
ACTBP8	ENSG00000220267.1	0.040	2.675	-1.821	4.38e-8
ACTG1P10	ENSG00000231340.1	3.540	0.060	2.099	1.29e-3
ACTG1P14	ENSG00000230581.2	2.750	0.155	1.699	6.92e-8
ACTG1P3	ENSG00000215388.3	4.780	0.250	2.209	1.66e-6
ACTL6A	ENSG00000136518.16	47.179	99.215	-1.057	2.30e-8
ACTR3B	ENSG00000133627.17	4.870	14.275	-1.380	1.80e-5
ACTR6	ENSG00000075089.9	14.920	67.744	-2.110	9.80e-15
ACVR2B	ENSG00000114739.13	0.750	5.970	-1.994	4.33e-8
ACY1	ENSG00000243989.7	14.760	73.178	-2.235	5.73e-12
ACYP2	ENSG00000170634.12	11.420	3.725	1.394	6.33e-8
AD000092.3	ENSG00000240616.1	3.390	0.250	1.812	4.02e-9
AD000864.6	ENSG00000280194.1	3.670	0.240	1.913	1.63e-7
AD001527.7	ENSG00000270760.1	1.640	0.000	1.401	2.26e-3
ADA	ENSG00000196839.12	55.241	8.860	2.512	1.21e-3
ADAM1A	ENSG00000229186.4	4.150	0.190	2.114	1.15e-3
ADAM28	ENSG00000042980.12	40.791	0.020	5.357	1.66e-6
ADAM8	ENSG00000151651.15	25.671	5.035	2.144	2.73e-4
ADAMTS14	ENSG00000138316.10	0.830	44.035	-4.621	1.72e-10
ADAMTS3	ENSG00000156140.8	0.210	7.705	-2.847	1.68e-5
ADAMTSL4	ENSG00000143382.13	29.209	173.080	-2.527	6.75e-4
ADAMTSL4-AS1	ENSG00000203804.4	6.700	0.405	2.454	2.17e-6
ADAMTSL5	ENSG00000185761.10	0.230	5.510	-2.404	1.51e-22
ADAP1	ENSG00000105963.13	21.021	0.935	3.508	5.17e-7
ADCY10P1	ENSG00000161912.17	3.390	0.305	1.750	1.36e-3
ADCY4	ENSG00000129467.13	5.480	0.245	2.380	3.88e-6
ADCY9	ENSG00000162104.9	9.200	0.170	3.124	4.20e-4
ADD1	ENSG00000087274.16	135.541	62.161	1.112	2.55e-3
ADD2	ENSG00000075340.22	3.540	35.429	-3.004	6.34e-4
ADGRA3	ENSG00000152990.13	14.610	0.380	3.500	7.78e-5
ADGRB3	ENSG00000135298.13	0.000	2.925	-1.973	1.92e-23
ADGRD1	ENSG00000111452.12	0.560	4.290	-1.762	4.72e-3
ADGRE1	ENSG00000174837.14	8.760	0.375	2.827	7.96e-4
ADGRE2	ENSG00000127507.17	61.069	15.110	1.946	1.75e-6
ADGRE5	ENSG00000123146.19	294.127	42.225	2.771	9.27e-10
ADGRF3	ENSG00000173567.14	1.370	0.125	1.075	6.40e-3
ADGRG1	ENSG00000205336.11	22.710	0.275	4.217	7.63e-5
ADGRG3	ENSG00000182885.16	8.350	0.690	2.468	4.01e-5
ADGRG5	ENSG00000159618.15	23.160	0.270	4.250	1.36e-6
ADGRV1	ENSG00000164199.15	0.030	15.270	-3.982	2.59e-64
ADH5	ENSG00000197894.10	52.951	197.416	-1.879	1.81e-13
ADHFE1	ENSG00000147576.15	13.700	0.185	3.633	6.15e-13
ADNP-AS1	ENSG00000259456.3	3.830	1.085	1.212	3.05e-3
ADPGK	ENSG00000159322.17	111.360	36.571	1.580	6.92e-7
ADPGK-AS1	ENSG00000260898.5	3.130	0.110	1.896	1.88e-10
ADPRH	ENSG00000144843.11	6.840	1.705	1.535	9.19e-4
ADPRHL2	ENSG00000116863.10	12.570	29.014	-1.145	3.55e-5
ADPRM	ENSG00000170222.11	16.660	7.045	1.134	2.13e-3
ADRB2	ENSG00000169252.5	6.830	0.045	2.906	1.24e-5
ADRBK1	ENSG00000173020.10	313.321	70.834	2.129	8.04e-5
ADRM1	ENSG00000130706.12	36.640	93.808	-1.333	5.53e-4
ADSSL1	ENSG00000185100.10	1.720	6.320	-1.428	2.02e-3
ADTRP	ENSG00000111863.12	0.470	16.370	-3.563	7.86e-25
AE000661.37	ENSG00000251002.7	23.321	0.820	3.740	3.73e-5
AEBP1	ENSG00000106624.8	8.110	1.230	2.030	9.86e-5
AF001548.5	ENSG00000263335.1	6.380	0.915	1.946	2.83e-7
AF001548.6	ENSG00000263065.1	1.480	0.000	1.310	6.57e-8
AF127936.3	ENSG00000232884.7	0.090	19.245	-4.215	1.33e-36
AF127936.5	ENSG00000226751.2	0.250	11.620	-3.336	6.93e-32
AF131216.5	ENSG00000255020.1	0.000	1.440	-1.287	1.73e-24
AF131216.6	ENSG00000246477.3	1.510	0.090	1.203	3.16e-3
AF224669.3	ENSG00000241981.2	1.210	0.000	1.144	7.02e-3
AF230666.2	ENSG00000223697.3	3.180	0.350	1.631	2.73e-3
AFAP1-AS1	ENSG00000272620.1	0.050	8.610	-3.194	1.95e-33
AFF2	ENSG00000155966.13	3.950	0.070	2.210	1.78e-7
AFF3	ENSG00000144218.18	16.260	0.020	4.081	1.16e-3
AFG3L2	ENSG00000141385.9	26.330	61.879	-1.202	1.35e-7
AFP	ENSG00000081051.7	0.000	2.655	-1.870	2.51e-26
AFTPH	ENSG00000119844.14	42.241	14.130	1.515	1.39e-5
AGAP1	ENSG00000157985.17	0.790	10.750	-2.715	9.69e-6
AGAP11	ENSG00000271880.1	0.000	2.795	-1.924	9.96e-36
AGAP2	ENSG00000135439.11	20.680	0.225	4.145	8.12e-21
AGAP2-AS1	ENSG00000255737.2	1.240	0.030	1.121	1.54e-4
AGAP3	ENSG00000133612.18	18.810	56.150	-1.529	3.93e-4
AGAP5	ENSG00000172650.12	13.990	5.920	1.115	4.30e-3
AGAP9	ENSG00000204172.11	21.610	8.540	1.245	8.27e-3
AGBL5	ENSG00000084693.15	15.390	32.825	-1.045	8.27e-4
AGK	ENSG00000006530.15	18.120	38.945	-1.063	9.00e-10
AGMAT	ENSG00000116771.5	1.130	0.020	1.062	2.86e-3
AGO4	ENSG00000134698.10	44.501	8.695	2.231	1.81e-7
AGPAT4-IT1	ENSG00000279355.1	3.430	0.785	1.311	2.27e-4
AGTPBP1	ENSG00000135049.15	32.549	4.880	2.512	3.03e-6
AHCY	ENSG00000101444.12	65.190	159.575	-1.279	1.61e-5
AHCYL1	ENSG00000168710.17	39.349	85.980	-1.108	6.85e-9
AHR	ENSG00000106546.12	47.221	0.060	5.508	2.13e-6
AIF1	ENSG00000204472.12	311.415	36.885	3.044	2.60e-9
AIFM1	ENSG00000156709.13	19.090	54.411	-1.464	1.38e-10
AIFM2	ENSG00000042286.14	1.490	8.590	-1.945	7.81e-6
AIFM3	ENSG00000183773.15	6.650	0.265	2.596	9.91e-3
AIG1	ENSG00000146416.16	10.540	107.459	-3.232	5.94e-3
AIM1	ENSG00000112297.14	22.360	0.205	4.277	5.13e-11
AIM1L	ENSG00000176092.13	0.250	4.145	-2.041	1.23e-17
AJ003147.11	ENSG00000279330.1	3.530	0.080	2.068	1.27e-8
AK1	ENSG00000106992.17	5.920	42.095	-2.639	4.46e-6
AK2	ENSG00000004455.16	128.720	335.785	-1.376	1.02e-4
AK3P5	ENSG00000228816.1	1.840	0.150	1.304	9.43e-3
AK4	ENSG00000162433.14	5.500	49.665	-2.962	8.32e-5
AK4P1	ENSG00000263535.1	1.970	8.895	-1.736	3.00e-4
