Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC006449.2	ENSG00000279119.1	9.910	32.453	-1.616	4.51e-8
AC006547.13	ENSG00000236540.7	0.890	3.180	-1.145	1.03e-9
AC006547.8	ENSG00000243762.1	2.990	0.000	1.996	1.92e-8
AC006942.4	ENSG00000269194.1	1.300	5.090	-1.405	1.49e-8
AC007038.7	ENSG00000229127.1	0.200	1.545	-1.085	2.64e-18
AC007191.4	ENSG00000279407.1	0.520	2.090	-1.023	1.15e-7
AC007192.6	ENSG00000269145.2	7.750	1.600	1.751	3.48e-8
AC007193.10	ENSG00000269124.1	0.000	1.180	-1.124	5.65e-8
AC007229.3	ENSG00000267544.1	2.860	0.880	1.038	9.73e-10
AC007318.5	ENSG00000172974.11	13.280	5.535	1.128	2.45e-4
AC007326.1	ENSG00000279560.1	0.580	5.170	-1.965	1.04e-10
AC007383.4	ENSG00000231955.1	0.030	1.545	-1.305	2.86e-10
AC007392.3	ENSG00000232046.6	0.000	1.845	-1.508	2.70e-14
AC007392.4	ENSG00000237179.5	0.000	1.300	-1.202	6.39e-13
AC007566.10	ENSG00000244055.1	0.560	6.795	-2.321	1.22e-22
AC007743.1	ENSG00000233251.7	0.140	3.315	-1.920	2.85e-20
AC007750.5	ENSG00000236841.7	0.060	1.145	-1.017	1.07e-6
AC007952.5	ENSG00000228157.4	0.180	1.515	-1.092	1.61e-8
AC008746.12	ENSG00000267838.2	0.860	3.634	-1.317	2.94e-5
AC008746.5	ENSG00000235681.1	0.000	3.140	-2.050	7.27e-8
AC009005.2	ENSG00000267751.5	3.700	0.855	1.341	1.84e-8
AC009065.4	ENSG00000279473.1	5.940	0.000	2.795	1.48e-22
AC009120.3	ENSG00000239763.2	0.250	3.750	-1.926	3.54e-19
AC009120.5	ENSG00000260884.1	0.120	2.165	-1.499	5.40e-16
AC009120.6	ENSG00000259972.2	4.770	20.627	-1.906	1.15e-14
AC009299.5	ENSG00000232320.6	0.410	2.720	-1.400	3.76e-9
AC009336.19	ENSG00000278500.1	0.140	6.797	-2.774	6.59e-23
AC009501.4	ENSG00000231609.5	0.390	3.275	-1.621	5.52e-10
AC009950.1	ENSG00000280755.1	0.000	1.540	-1.345	3.13e-5
AC009950.2	ENSG00000225963.7	0.370	2.320	-1.277	1.27e-12
AC010136.2	ENSG00000223923.1	0.370	2.705	-1.435	1.02e-8
AC010226.4	ENSG00000249249.1	0.970	4.934	-1.591	3.72e-12
AC010883.5	ENSG00000234936.1	0.850	3.794	-1.374	6.54e-9
AC010894.3	ENSG00000226853.2	4.300	0.815	1.546	7.99e-9
AC010976.2	ENSG00000231731.7	0.710	3.635	-1.439	2.46e-12
AC011290.5	ENSG00000236015.1	0.790	3.390	-1.294	8.12e-11
AC011558.5	ENSG00000279753.1	110.407	44.648	1.287	2.76e-6
AC011737.2	ENSG00000204196.5	50.429	16.415	1.562	2.37e-6
AC012065.1	ENSG00000279307.1	1.800	0.395	1.005	3.33e-9
AC012146.7	ENSG00000234327.7	13.810	5.530	1.181	5.52e-4
AC015849.19	ENSG00000270871.1	0.090	2.395	-1.639	1.92e-16
AC015971.2	ENSG00000228363.2	0.030	1.180	-1.082	9.65e-11
AC016292.3	ENSG00000108958.4	2.330	0.415	1.235	2.49e-10
AC016700.5	ENSG00000231327.1	2.990	0.875	1.089	6.04e-6
AC016734.2	ENSG00000228305.2	2.490	0.485	1.233	4.94e-12
AC016738.4	ENSG00000223947.1	0.070	1.305	-1.107	2.59e-11
AC016739.2	ENSG00000218175.2	56.602	17.950	1.604	3.65e-4
AC016757.3	ENSG00000186235.10	0.890	4.655	-1.581	2.95e-6
AC016995.3	ENSG00000231367.5	0.370	4.555	-2.020	3.41e-15
AC017104.6	ENSG00000224376.1	1.220	5.603	-1.572	1.15e-6
AC017116.11	ENSG00000239775.1	0.540	3.720	-1.616	1.57e-9
AC018462.3	ENSG00000242735.1	0.230	2.270	-1.411	6.57e-4
AC018766.4	ENSG00000267896.1	4.750	15.925	-1.558	2.17e-11
AC018766.6	ENSG00000268047.1	0.070	1.470	-1.207	2.93e-14
AC024560.3	ENSG00000214135.8	6.440	33.534	-2.215	3.43e-17
AC025165.8	ENSG00000224713.4	0.230	12.653	-3.472	5.17e-31
AC025171.1	ENSG00000215068.7	0.630	3.005	-1.297	4.36e-8
AC025335.1	ENSG00000179859.7	2.380	7.560	-1.341	3.51e-12
AC026150.8	ENSG00000260693.1	0.190	3.565	-1.940	1.51e-22
AC034220.3	ENSG00000233006.6	1.470	7.419	-1.769	3.73e-15
AC053503.12	ENSG00000280323.1	0.050	3.300	-2.034	3.62e-5
AC053503.6	ENSG00000234638.1	0.000	3.356	-2.123	4.57e-5
AC069213.1	ENSG00000224769.1	0.570	2.970	-1.338	1.66e-3
AC069282.6	ENSG00000225507.1	2.330	7.335	-1.324	8.56e-14
AC073130.3	ENSG00000243243.5	0.000	1.680	-1.422	3.17e-11
AC074212.6	ENSG00000267395.5	1.320	7.190	-1.820	1.01e-15
AC074289.1	ENSG00000225889.7	1.340	3.845	-1.050	9.86e-6
AC079250.1	ENSG00000230979.3	7.240	1.624	1.651	7.10e-10
AC079630.4	ENSG00000225342.2	0.070	1.455	-1.198	1.59e-21
AC079741.2	ENSG00000180019.5	0.000	1.005	-1.004	1.28e-3
AC079781.7	ENSG00000232032.1	0.000	2.559	-1.832	8.87e-3
AC079807.2	ENSG00000233230.1	0.840	2.720	-1.016	1.61e-7
AC079922.2	ENSG00000231747.1	4.340	0.455	1.876	2.11e-13
AC083843.1	ENSG00000259820.1	0.790	4.440	-1.604	4.56e-15
AC090044.2	ENSG00000224239.1	0.000	1.370	-1.245	1.30e-4
AC092155.1	ENSG00000229503.1	1.480	0.160	1.096	1.19e-9
AC092162.1	ENSG00000230552.5	0.000	3.130	-2.046	1.44e-6
AC093110.3	ENSG00000238018.2	0.320	7.065	-2.611	1.27e-21
AC093495.4	ENSG00000228242.6	2.310	12.585	-2.037	6.77e-14
AC093642.1	ENSG00000280119.1	0.090	3.335	-1.992	8.94e-12
AC093642.3	ENSG00000237940.3	0.670	15.825	-3.333	2.71e-13
AC093642.5	ENSG00000220804.8	1.110	5.355	-1.591	1.84e-14
AC093673.5	ENSG00000232533.1	10.690	26.415	-1.230	2.46e-5
AC093818.1	ENSG00000225205.5	0.620	2.370	-1.057	3.68e-10
AC093838.4	ENSG00000152117.17	8.660	29.063	-1.638	6.81e-10
AC097724.3	ENSG00000226833.5	0.820	4.440	-1.580	8.32e-10
AC100830.5	ENSG00000264937.1	0.000	2.055	-1.611	6.27e-8
AC104534.3	ENSG00000268083.5	2.110	0.000	1.637	1.78e-6
AC108142.1	ENSG00000177822.7	2.070	0.480	1.053	5.24e-3
AC108488.4	ENSG00000242282.6	4.270	15.454	-1.643	1.77e-11
AC110615.1	ENSG00000279909.1	6.730	1.305	1.746	1.34e-3
AC113188.2	ENSG00000279535.1	3.840	0.815	1.415	1.45e-4
AC114730.11	ENSG00000235351.1	0.380	4.495	-1.993	3.20e-13
AC114730.2	ENSG00000235151.1	0.110	1.900	-1.385	1.97e-13
AC116366.6	ENSG00000234290.2	0.130	2.770	-1.738	8.89e-26
AC116614.1	ENSG00000235688.2	0.130	5.621	-2.551	7.22e-12
AC125232.1	ENSG00000231259.4	6.520	14.504	-1.044	3.27e-8
AC129492.1	ENSG00000279152.1	0.000	2.435	-1.780	1.07e-7
AC132008.1	ENSG00000213519.2	0.000	1.560	-1.356	5.54e-11
AC137932.4	ENSG00000268218.1	0.260	1.570	-1.028	1.32e-16
AC137934.1	ENSG00000260923.5	1.290	8.115	-1.993	9.67e-6
AC138035.2	ENSG00000238035.8	1.270	14.570	-2.778	3.90e-15
AC141928.1	ENSG00000250986.1	0.620	4.234	-1.692	1.80e-4
AC145124.2	ENSG00000255495.1	0.810	7.575	-2.244	2.02e-16
AC156455.1	ENSG00000256546.1	2.350	21.648	-2.757	1.71e-15
AC159540.1	ENSG00000230606.10	14.640	41.761	-1.451	1.06e-6
AC159540.2	ENSG00000278766.2	0.060	1.120	-1.000	4.33e-11
AC239868.2	ENSG00000280874.1	32.651	4.634	2.578	3.35e-5
AC239868.3	ENSG00000281134.1	32.651	4.634	2.578	3.35e-5
ACACB	ENSG00000076555.15	2.380	29.575	-3.177	2.25e-25
ACAD11	ENSG00000240303.7	6.240	43.920	-2.633	1.64e-20
ACAD8	ENSG00000151498.11	12.170	30.055	-1.238	9.88e-12
ACADSB	ENSG00000196177.12	2.610	13.755	-2.031	5.24e-20
ACADVL	ENSG00000072778.19	256.159	708.782	-1.465	2.27e-10
ACAN	ENSG00000157766.15	2.870	0.565	1.306	6.78e-5
ACAP3	ENSG00000131584.18	11.250	90.352	-2.899	1.29e-18
ACBD4	ENSG00000181513.14	4.890	32.284	-2.499	9.05e-16
ACCS	ENSG00000110455.13	3.880	52.734	-3.461	1.57e-17
ACIN1	ENSG00000100813.14	81.131	176.888	-1.115	6.46e-10
ACKR1	ENSG00000213088.9	1.710	107.933	-5.329	3.15e-14
ACKR4	ENSG00000129048.6	0.160	2.680	-1.665	9.47e-5
ACOT13	ENSG00000112304.10	21.470	8.195	1.289	7.31e-14
ACOT2	ENSG00000119673.14	14.360	35.330	-1.242	2.48e-4
ACOT7	ENSG00000097021.19	40.689	18.120	1.125	2.50e-10
ACOT9	ENSG00000123130.16	18.750	42.785	-1.149	2.69e-4
ACOX2	ENSG00000168306.12	4.320	41.415	-2.995	2.24e-17
ACR	ENSG00000100312.10	0.310	1.965	-1.178	2.12e-7
ACRC	ENSG00000147174.11	0.560	2.495	-1.164	9.93e-9
ACSL1	ENSG00000151726.13	12.080	38.325	-1.588	1.17e-5
ACSL5	ENSG00000197142.10	2.410	9.145	-1.573	7.30e-8
ACSM1	ENSG00000166743.9	0.130	3.239	-1.907	1.20e-17
ACSM3	ENSG00000005187.11	7.060	62.608	-2.980	8.33e-10
ACSS1	ENSG00000154930.14	11.910	25.776	-1.052	1.53e-4
ACSS3	ENSG00000111058.7	3.500	12.785	-1.615	4.46e-11
ACTA2	ENSG00000107796.12	93.292	5824.829	-5.949	9.16e-22
ACTA2-AS1	ENSG00000180139.11	0.320	200.033	-7.251	3.13e-37
ACTG2	ENSG00000163017.13	11.140	1326.859	-6.773	5.26e-13
ACTN1	ENSG00000072110.13	63.241	413.831	-2.691	1.92e-13
ACTN1-AS1	ENSG00000259062.2	0.090	2.510	-1.687	1.49e-12
ACTN4	ENSG00000130402.11	158.902	368.175	-1.207	5.00e-5
ACTR1B	ENSG00000115073.7	35.199	80.708	-1.175	5.55e-10
ACVRL1	ENSG00000139567.12	9.270	36.381	-1.864	3.47e-10
ADA	ENSG00000196839.12	16.950	7.405	1.095	1.26e-5
ADAM11	ENSG00000073670.13	1.210	4.805	-1.393	2.24e-4
ADAM12	ENSG00000148848.14	3.470	0.205	1.891	3.42e-7
ADAM33	ENSG00000149451.17	4.660	320.915	-5.830	7.23e-26
ADAMTS1	ENSG00000154734.14	14.680	93.115	-2.585	6.25e-14
ADAMTS10	ENSG00000142303.13	9.010	51.533	-2.392	2.09e-10
ADAMTS14	ENSG00000138316.10	1.310	0.155	1.000	1.12e-5
ADAMTS19	ENSG00000145808.8	0.500	8.184	-2.614	2.46e-13
ADAMTS2	ENSG00000087116.13	5.440	19.215	-1.650	5.43e-5
ADAMTS5	ENSG00000154736.5	1.870	10.600	-2.015	1.28e-6
ADAMTS6	ENSG00000049192.14	0.470	2.260	-1.149	1.65e-4
ADAMTS8	ENSG00000134917.9	0.660	2.535	-1.090	3.75e-3
ADAMTS9-AS1	ENSG00000241158.5	0.460	13.805	-3.342	6.43e-19
ADAMTS9-AS2	ENSG00000241684.5	0.180	8.275	-2.974	2.20e-23
ADAMTSL1	ENSG00000178031.15	1.910	19.889	-2.844	1.23e-16
ADAMTSL3	ENSG00000156218.12	0.590	3.885	-1.619	2.59e-10
ADAMTSL4	ENSG00000143382.13	8.490	64.614	-2.790	4.23e-19
ADAMTSL5	ENSG00000185761.10	0.330	19.005	-3.911	1.78e-21
ADARB1	ENSG00000197381.15	5.710	22.895	-1.832	2.24e-13
ADCY10P1	ENSG00000161912.17	1.030	4.050	-1.315	3.18e-7
ADCY2	ENSG00000078295.15	2.600	10.608	-1.689	1.70e-3
ADCY3	ENSG00000138031.14	21.529	89.514	-2.006	2.41e-13
ADCY4	ENSG00000129467.13	2.240	92.139	-4.845	6.42e-30
ADCY5	ENSG00000173175.14	3.170	17.670	-2.163	1.73e-9
ADCY6	ENSG00000174233.11	11.070	51.310	-2.116	3.88e-18
ADCY9	ENSG00000162104.9	2.990	10.310	-1.503	8.83e-15
ADCYAP1R1	ENSG00000078549.14	0.920	3.265	-1.151	2.28e-6
ADD2	ENSG00000075340.22	4.030	0.900	1.405	3.90e-3
ADGRA2	ENSG00000020181.17	15.110	52.026	-1.719	1.25e-8
ADGRB1	ENSG00000181790.10	1.220	3.730	-1.091	1.38e-3
ADGRB2	ENSG00000121753.12	13.590	4.360	1.445	1.75e-7
ADGRB3	ENSG00000135298.13	0.260	1.575	-1.031	3.44e-8
ADGRD1	ENSG00000111452.12	1.290	19.550	-3.166	1.61e-20
ADGRE5	ENSG00000123146.19	19.760	146.103	-2.825	1.03e-14
ADGRF5	ENSG00000069122.18	2.950	21.924	-2.537	4.62e-15
ADGRG2	ENSG00000173698.17	2.650	0.290	1.500	7.17e-4
ADGRL2	ENSG00000117114.19	33.779	15.015	1.119	9.01e-4
ADGRL4	ENSG00000162618.12	3.880	20.981	-2.171	1.65e-10
ADH1B	ENSG00000196616.12	0.050	236.729	-7.823	2.80e-30
ADH1C	ENSG00000248144.5	0.600	3.135	-1.370	4.93e-5
ADHFE1	ENSG00000147576.15	1.430	32.244	-3.774	3.49e-21
ADIRF	ENSG00000148671.13	5.550	283.292	-5.440	3.69e-19
ADIRF-AS1	ENSG00000272734.1	2.460	23.849	-2.844	1.24e-16
ADM2	ENSG00000128165.8	1.440	0.050	1.217	7.58e-6
ADM5	ENSG00000224420.3	1.460	4.770	-1.230	3.15e-5
ADORA1	ENSG00000163485.15	4.500	0.780	1.628	1.46e-5
ADRA2B	ENSG00000274286.1	0.680	2.685	-1.133	2.85e-6
ADRA2C	ENSG00000184160.7	6.840	30.268	-1.996	3.03e-4
ADRB2	ENSG00000169252.5	0.310	1.985	-1.188	1.42e-5
AEBP1	ENSG00000106624.8	118.800	443.441	-1.891	4.89e-4
AES	ENSG00000104964.14	250.696	746.189	-1.570	9.43e-12
AF001548.3	ENSG00000280429.1	0.000	1.800	-1.485	1.19e-16
AF011889.2	ENSG00000238039.1	0.390	3.595	-1.725	2.54e-11
AF127577.10	ENSG00000229047.1	23.789	8.960	1.316	6.91e-3
AF131215.2	ENSG00000255310.2	0.450	2.360	-1.212	3.21e-7
AFAP1L1	ENSG00000157510.13	3.210	11.385	-1.557	3.01e-4
AFAP1L2	ENSG00000169129.14	6.440	30.689	-2.091	5.92e-14
AFF1	ENSG00000172493.20	5.560	30.375	-2.258	1.32e-18
AFF3	ENSG00000144218.18	1.920	7.520	-1.545	5.17e-7
AFF4	ENSG00000072364.12	9.400	21.615	-1.121	1.10e-7
AFG3L1P	ENSG00000223959.8	7.280	25.696	-1.689	4.71e-15
AGAP11	ENSG00000271880.1	0.160	10.375	-3.294	1.15e-22
AGAP3	ENSG00000133612.18	59.420	121.288	-1.017	6.86e-8
AGAP4	ENSG00000188234.13	6.780	20.333	-1.455	1.68e-12
AGAP5	ENSG00000172650.12	2.200	7.065	-1.334	8.29e-13
AGAP6	ENSG00000204149.9	7.580	25.060	-1.603	3.74e-14
AGAP9	ENSG00000204172.11	3.490	15.196	-1.851	5.45e-13
AGBL3	ENSG00000146856.14	1.140	4.445	-1.347	3.13e-15
AGER	ENSG00000204305.13	5.770	16.309	-1.354	5.17e-7
AGFG2	ENSG00000106351.12	7.760	46.623	-2.443	6.24e-19
AGO4	ENSG00000134698.10	3.520	13.240	-1.656	1.40e-12
AGPAT9	ENSG00000138678.10	0.840	3.185	-1.186	1.17e-9
AGR2	ENSG00000106541.11	11.440	0.195	3.380	4.83e-6
AGR3	ENSG00000173467.8	2.520	0.080	1.705	9.36e-4
AGRN	ENSG00000188157.13	88.640	20.110	2.086	1.09e-11
AGT	ENSG00000135744.7	9.310	2.179	1.697	1.61e-4
AGTR1	ENSG00000144891.17	0.830	4.214	-1.511	1.85e-4
AHCY	ENSG00000101444.12	190.995	64.246	1.557	5.20e-11
AHDC1	ENSG00000126705.13	10.940	31.450	-1.442	5.89e-11
AHI1	ENSG00000135541.20	7.880	24.282	-1.509	2.99e-13
AHNAK	ENSG00000124942.13	23.620	233.948	-3.254	1.33e-21
AHNAK2	ENSG00000185567.6	6.500	73.021	-3.303	1.18e-15
AHSA2	ENSG00000173209.22	15.280	101.701	-2.657	2.74e-17
AIF1	ENSG00000204472.12	36.339	12.579	1.459	9.75e-6
AIFM1	ENSG00000156709.13	37.880	18.340	1.007	1.82e-7
AIG1	ENSG00000146416.16	31.910	14.900	1.050	1.70e-7
AIM1L	ENSG00000176092.13	2.040	0.170	1.378	9.43e-9
AIMP2	ENSG00000106305.9	31.260	14.805	1.029	2.01e-7
AJ011932.1	ENSG00000274248.1	0.580	3.145	-1.391	6.24e-5
AKAP10	ENSG00000108599.14	5.460	13.670	-1.183	6.77e-11
AKAP11	ENSG00000023516.8	3.320	11.845	-1.572	4.06e-14
AKAP12	ENSG00000131016.16	11.170	31.865	-1.433	1.51e-8
AKAP13	ENSG00000170776.19	21.270	115.004	-2.381	1.79e-11
AKAP17A	ENSG00000197976.10	17.740	58.665	-1.671	2.86e-14
AKAP2	ENSG00000241978.9	7.420	35.120	-2.101	5.95e-10
AKAP6	ENSG00000151320.10	0.520	6.724	-2.345	7.96e-14
AKAP8	ENSG00000105127.8	12.060	26.365	-1.067	1.70e-15
AKAP9	ENSG00000127914.16	11.510	27.965	-1.211	2.76e-13
AKNA	ENSG00000106948.16	8.440	58.635	-2.659	1.31e-17
AKT3	ENSG00000117020.16	1.730	30.355	-3.522	4.71e-18
AKTIP	ENSG00000166971.16	10.800	31.545	-1.464	8.83e-15
AL157871.2	ENSG00000259052.1	0.000	2.085	-1.625	5.69e-3
AL158801.1	ENSG00000279392.1	4.360	0.275	2.072	2.64e-20
AL162151.3	ENSG00000234648.1	52.921	609.042	-3.500	8.83e-5
AL442127.1	ENSG00000278371.2	0.000	55.370	-5.817	6.85e-7
AL513523.2	ENSG00000279767.1	38.649	9.765	1.881	2.52e-5
AL589743.1	ENSG00000279508.1	6.180	0.610	2.157	1.46e-6
AL590762.11	ENSG00000213018.2	0.100	1.590	-1.235	8.44e-11
AL590762.7	ENSG00000213706.2	0.110	2.480	-1.648	4.14e-13
ALAD	ENSG00000148218.15	12.080	31.055	-1.293	2.09e-12
ALB	ENSG00000163631.16	0.280	1.800	-1.129	1.21e-3
ALDH18A1	ENSG00000059573.8	52.222	15.719	1.670	3.24e-14
ALDH1A1	ENSG00000165092.12	19.870	76.614	-1.895	1.48e-6
ALDH1A2	ENSG00000128918.14	4.660	53.369	-3.264	1.91e-9
ALDH1L1	ENSG00000144908.13	0.770	8.777	-2.466	4.50e-13
ALDH2	ENSG00000111275.12	41.821	91.531	-1.112	3.84e-5
ALDH6A1	ENSG00000119711.12	3.970	11.550	-1.336	1.18e-11
ALG13	ENSG00000101901.10	16.520	38.895	-1.187	1.71e-11
ALOX12-AS1	ENSG00000215067.9	2.670	10.915	-1.699	7.43e-16
ALOX5	ENSG00000012779.10	2.740	11.640	-1.757	8.79e-5
ALPK1	ENSG00000073331.17	3.280	10.790	-1.462	8.19e-10
ALPL	ENSG00000162551.13	21.130	5.168	1.843	3.72e-7
ALS2CL	ENSG00000178038.16	3.510	16.364	-1.945	6.94e-12
ALX3	ENSG00000156150.6	2.360	0.435	1.227	8.14e-3
ALYREF	ENSG00000183684.7	131.370	43.644	1.568	7.49e-17
AMIGO2	ENSG00000139211.6	3.210	21.685	-2.430	4.87e-7
AMN	ENSG00000166126.10	1.560	0.255	1.028	6.70e-4
AMOTL2	ENSG00000114019.14	14.980	37.086	-1.253	5.08e-4
AMT	ENSG00000145020.14	4.720	66.594	-3.563	6.56e-20
AMY2A	ENSG00000243480.7	0.000	1.405	-1.266	1.11e-5
AMY2B	ENSG00000240038.6	2.020	38.429	-3.707	5.08e-19
AMZ2P1	ENSG00000214174.8	7.500	16.980	-1.081	7.23e-8
ANAPC11	ENSG00000141552.17	249.465	88.874	1.479	2.13e-20
ANAPC2	ENSG00000176248.8	20.430	55.556	-1.400	5.94e-13
ANAPC4	ENSG00000053900.10	11.830	36.455	-1.546	8.50e-15
ANG	ENSG00000214274.9	5.520	38.287	-2.591	1.45e-12
ANGEL1	ENSG00000013523.9	6.530	15.485	-1.130	5.08e-8
ANGEL2	ENSG00000174606.12	9.660	21.850	-1.100	4.94e-11
ANGPT4	ENSG00000101280.7	0.090	3.456	-2.032	5.56e-11
ANGPTL1	ENSG00000116194.12	2.480	57.545	-4.072	1.14e-14
ANGPTL4	ENSG00000167772.11	13.950	3.974	1.588	1.26e-4
ANK2	ENSG00000145362.16	3.570	13.880	-1.703	3.71e-9
ANK3	ENSG00000151150.20	7.460	16.460	-1.045	5.00e-6
ANKAR	ENSG00000151687.14	0.950	6.065	-1.857	4.61e-20
ANKDD1A	ENSG00000166839.16	2.440	11.015	-1.804	1.30e-15
ANKEF1	ENSG00000132623.15	1.960	0.455	1.025	7.21e-7
ANKFY1	ENSG00000185722.16	7.470	29.835	-1.864	1.05e-15
ANKHD1	ENSG00000131503.20	23.890	68.886	-1.489	6.27e-17
ANKLE2	ENSG00000176915.14	20.780	47.220	-1.147	9.02e-13
ANKRA2	ENSG00000164331.9	6.950	38.139	-2.300	3.50e-20
ANKRD10	ENSG00000088448.14	57.289	157.460	-1.443	2.37e-12
ANKRD10-IT1	ENSG00000229152.2	3.150	19.519	-2.306	9.45e-16
ANKRD12	ENSG00000101745.15	3.360	9.385	-1.252	1.39e-9
ANKRD23	ENSG00000163126.14	1.770	10.965	-2.111	3.16e-20
ANKRD28	ENSG00000206560.10	8.340	19.949	-1.165	1.30e-8
ANKRD29	ENSG00000154065.16	1.570	25.695	-3.377	1.59e-20
ANKRD33B	ENSG00000164236.11	0.770	4.615	-1.665	3.87e-9
ANKRD35	ENSG00000198483.12	0.360	7.715	-2.680	2.69e-16
ANKRD36	ENSG00000135976.16	2.370	14.065	-2.160	4.25e-20
ANKRD36B	ENSG00000196912.12	2.360	11.785	-1.928	2.26e-14
ANKRD36C	ENSG00000174501.14	1.010	5.675	-1.732	8.89e-18
